name,n_constr,n_vars,n_bounded_vars,continuous,integer,binary,folder,selected,all_bounded,optimal,optimum,oct_feas,oct_cost,oct_time,hand_checked,baron_cost,baron_time,baron_feas
ex4_1_1,1,1,1,1,0,0,global,0,1,-7.48731237,-7.487312365,true,3.219511658,0.868999958,true,-7.487319853,0.513999939,true
ex4_1_2,1,1,1,1,0,0,global,0,1,-663.5000966,-663.5000966,true,-633.1118532,1.11500001,true,-663.5000966,0.423000097,true
ex4_1_3,1,1,1,1,0,0,global,0,1,-443.6717047,-443.6717047,true,-439.3936929,1.166000128,true,-443.6717047,0.164000034,true
ex4_1_4,1,1,1,1,0,0,global,0,1,0,0.0,true,0.266001293,0.872999907,true,-5.08e-6,0.161999941,true
ex4_1_6,1,1,1,1,0,0,global,0,1,7,7.0,true,40.00816681,0.985000134,true,6.999993,0.207000017,true
ex4_1_7,1,1,1,1,0,0,global,0,1,-7.5,-7.5,true,-6.891507007,0.959000111,true,-7.500007507,0.144000053,true
prob06,2,1,1,1,0,0,global,0,1,,1.177124344,false,Inf,0.651000023,true,1.0e51,0.115999937,true
ex4_1_8,2,2,2,2,0,0,global,0,1,,-16.73889318,false,-16.73802001,2.304999828,true,-16.73892666,0.134000063,true
ex4_1_9,3,2,2,2,0,0,global,0,1,,-5.508013271,true,-5.508013271,1.334000111,true,-5.50801878,0.138999939,true
mathopt1,3,2,2,2,0,0,global,0,1,,3.29e-18,true,7.577193128,2.694000006,true,0.0,0.116999865,true
prob09,1,2,2,2,0,0,global,0,1,,-1.0e-13,true,2.960224128,2.805999994,true,0.0,0.342999935,true
rbrock,1,2,2,2,0,0,global,0,1,,2.05e-23,true,537.5420841,2.174999952,true,0.0,0.156000137,true
st_e01,2,2,2,2,0,0,global,0,1,,-6.666666667,true,-6.666666533,0.75999999,true,-6.666666667,0.10800004,true
st_e08,3,2,2,2,0,0,global,1,1,0.74178196,0.741781958,true,0.741781984,2.018000126,true,0.741780958,0.11500001,true
st_e09,2,2,2,2,0,0,global,0,1,,-0.5,true,-0.499447964,3.036999941,true,-0.500003541,0.119999886,true
