name,n_constr,n_vars,n_bounded_vars,continuous,integer,binary,folder,selected,all_bounded,optimum
nvs03,3,2,0,0,2,0,minlp,0,0,"Union{Missing, Float64}[16.0]"
nvs04,1,2,0,0,2,0,minlp,0,0,"Union{Missing, Float64}[0.72]"
nvs06,1,2,2,0,2,0,minlp,1,1,"Union{Missing, Float64}[1.7703125]"
nvs10,3,2,0,0,2,0,minlp,0,0,"Union{Missing, Float64}[-310.8]"
nvs16,1,2,0,0,2,0,minlp,0,0,"Union{Missing, Float64}[0.703125]"
prob03,2,2,2,0,2,0,minlp,0,1,"Union{Missing, Float64}[10.0]"
st_e13,3,2,2,1,0,1,minlp,0,1,"Union{Missing, Float64}[2.0]"
st_e36,3,2,2,1,1,0,minlp,0,1,"Union{Missing, Float64}[-246.0]"
st_miqp3,2,2,0,0,2,0,minlp,0,0,"Union{Missing, Float64}[-6.0]"
ex1222,4,3,3,2,0,1,minlp,0,1,"Union{Missing, Float64}[1.076543083]"
nvs01,4,3,1,1,2,0,minlp,0,0,"Union{Missing, Float64}[12.46966882]"
nvs07,3,3,0,0,3,0,minlp,0,0,"Union{Missing, Float64}[4.0]"
nvs08,4,3,1,1,2,0,minlp,0,0,"Union{Missing, Float64}[23.44972735]"
nvs11,4,3,0,0,3,0,minlp,0,0,"Union{Missing, Float64}[-431.0]"
nvs15,2,3,0,0,3,0,minlp,0,0,"Union{Missing, Float64}[1.0]"
nvs21,3,3,1,1,2,0,minlp,0,0,"Union{Missing, Float64}[-5.6847825]"
st_testph4,11,3,0,0,3,0,minlp,0,0,"Union{Missing, Float64}[-80.5]"
gbd,5,4,4,1,0,3,minlp,0,1,"Union{Missing, Float64}[2.2]"
gear,1,4,4,0,4,0,minlp,0,1,"Union{Missing, Float64}[2.700857149e-12]"
nvs12,5,4,0,0,4,0,minlp,0,0,"Union{Missing, Float64}[-481.2]"
st_e27,7,4,4,2,0,2,minlp,0,1,"Union{Missing, Float64}[2.0]"
st_e38,4,4,4,2,2,0,minlp,0,1,"Union{Missing, Float64}[7197.727149]"
st_miqp2,4,4,0,0,4,0,minlp,0,0,"Union{Missing, Float64}[2.0]"
ex1221,6,5,5,2,0,3,minlp,0,1,"Union{Missing, Float64}[7.667180069]"
ex1226,6,5,5,2,0,3,minlp,0,1,"Union{Missing, Float64}[-17.0]"
nvs13,6,5,0,0,5,0,minlp,0,0,"Union{Missing, Float64}[-585.2]"
st_e15,6,5,5,2,0,3,minlp,0,1,"Union{Missing, Float64}[7.667180069]"
st_miqp1,2,5,0,0,5,0,minlp,0,0,"Union{Missing, Float64}[281.0]"
st_test1,2,5,0,0,5,0,minlp,0,0,"Union{Missing, Float64}[0.0]"
gear4,2,6,4,2,4,0,minlp,0,0,"Union{Missing, Float64}[1.643428474]"
nvs18,7,6,0,0,6,0,minlp,0,0,"Union{Missing, Float64}[-778.4]"
prob02,9,6,6,0,6,0,minlp,0,1,"Union{Missing, Float64}[112235.0]"
st_miqp4,5,6,3,3,3,0,minlp,0,0,"Union{Missing, Float64}[-4574.0]"
st_test2,3,6,0,0,6,0,minlp,0,0,"Union{Missing, Float64}[-9.25]"
st_test4,6,6,0,0,6,0,minlp,0,0,"Union{Missing, Float64}[-7.0]"
synthes1,7,6,6,3,0,3,minlp,0,1,"Union{Missing, Float64}[6.00975909]"
eg_all_s,28,7,7,0,7,0,minlp,0,1,"Union{Missing, Float64}[7.657752093]"
eg_disc2_s,28,7,7,4,3,0,minlp,0,1,"Union{Missing, Float64}[5.64210058]"
eg_disc_s,28,7,7,3,4,0,minlp,1,1,"Union{Missing, Float64}[5.760539616]"
eg_int_s,28,7,7,4,3,0,minlp,1,1,"Union{Missing, Float64}[6.453103159]"
ex1223a,10,7,7,3,0,4,minlp,1,1,"Union{Missing, Float64}[4.579582402]"
ex1223b,10,7,7,3,0,4,minlp,1,1,"Union{Missing, Float64}[4.579582402]"
nvs17,8,7,0,0,7,0,minlp,0,0,"Union{Missing, Float64}[-1100.4]"
st_miqp5,14,7,5,5,2,0,minlp,0,0,"Union{Missing, Float64}[-333.8888889]"
ex1225,11,8,8,2,0,6,minlp,1,1,"Union{Missing, Float64}[31.0]"
gear3,5,8,8,4,4,0,minlp,1,1,"Union{Missing, Float64}[2.700857149e-12]"
nvs02,4,8,3,3,5,0,minlp,0,0,"Union{Missing, Float64}[5.964184523]"
nvs05,10,8,4,6,2,0,minlp,0,0,"Union{Missing, Float64}[5.470934108]"
nvs14,4,8,3,3,5,0,minlp,0,0,"Union{Missing, Float64}[-40358.15477]"
nvs19,9,8,0,0,8,0,minlp,0,0,"Union{Missing, Float64}[-1098.4]"
nvs22,10,8,4,4,4,0,minlp,0,0,"Union{Missing, Float64}[6.05822]"
tln2,13,8,2,0,6,2,minlp,0,0,"Union{Missing, Float64}[5.3]"
nvs23,10,9,0,0,9,0,minlp,0,0,"Union{Missing, Float64}[-1125.2]"
oaer,8,9,3,6,0,3,minlp,0,0,"Union{Missing, Float64}[-1.923098514]"
nvs09,1,10,10,0,10,0,minlp,1,1,"Union{Missing, Float64}[-43.13433692]"
nvs24,11,10,0,0,10,0,minlp,0,0,"Union{Missing, Float64}[-1033.2]"
procsel,8,10,4,7,0,3,minlp,0,0,"Union{Missing, Float64}[-1.923098738]"
st_test5,12,10,0,0,10,0,minlp,0,0,"Union{Missing, Float64}[-110.0]"
st_test6,6,10,0,0,10,0,minlp,0,0,"Union{Missing, Float64}[471.0]"
st_testgr1,6,10,0,0,10,0,minlp,0,0,"Union{Missing, Float64}[-12.8116]"
ex1223,14,11,11,7,0,4,minlp,1,1,"Union{Missing, Float64}[4.579582402]"
ex1224,8,11,11,3,0,8,minlp,1,1,"Union{Missing, Float64}[-0.9434705]"
gkocis,9,11,5,8,0,3,minlp,0,0,"Union{Missing, Float64}[-1.923098738]"
st_e14,14,11,11,7,0,4,minlp,1,1,"Union{Missing, Float64}[4.579582402]"
st_e29,8,11,11,3,0,8,minlp,1,1,"Union{Missing, Float64}[-0.9434705]"
synthes2,15,11,9,6,0,5,minlp,0,0,"Union{Missing, Float64}[73.03531253]"
st_test3,11,13,0,0,13,0,minlp,0,0,"Union{Missing, Float64}[-7.0]"
fuel,16,15,9,12,0,3,minlp,0,0,"Union{Missing, Float64}[8566.118962]"
hmittelman,8,16,16,0,0,16,minlp,1,1,"Union{Missing, Float64}[13.0]"
nvs20,9,16,11,11,5,0,minlp,0,0,"Union{Missing, Float64}[230.9221652]"
spring,9,17,13,5,1,11,minlp,0,0,"Union{Missing, Float64}[0.8462441005]"
